timestamp,service,level,message,incident_id,category
1077804742,unix.hw,INFO,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),E13,HPC
1084680778,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),E13,HPC
1084270955,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),E13,HPC
1084270952,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),E13,HPC
1085100843,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),E13,HPC
1085084674,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),E13,HPC
1097194780,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),E13,HPC
1117296789,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),E13,HPC
1141108031,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),E13,HPC
1142550406,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),E13,HPC
1142553646,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),E13,HPC
1145552100,unix.hw,INFO,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),E13,HPC
1074119817,action,INFO,clusterAddMember  (command 1902),E8,HPC
1074123150,action,INFO,clusterAddMember  (command 1900),E8,HPC
1074125371,action,INFO,risBoot  (command 1903),E36,HPC
1074126278,action,INFO,bootGenvmunix  (command 1903),E6,HPC
1074178193,action,INFO,boot  (command 1911),E4,HPC
1074178628,action,INFO,boot  (command 1910),E4,HPC
1074297419,action,INFO,boot  (command 1978),E4,HPC
1074298084,action,INFO,boot  (command 1967),E4,HPC
1074298390,action,INFO,wait  (command 1975),E45,HPC
1074535847,action,INFO,boot  (command 1999),E4,HPC
1074461014,action,INFO,halt  (command 1982),E19,HPC
1074459063,action,INFO,boot  (command 1981),E4,HPC
1074298056,action,INFO,boot  (command 1973),E4,HPC
1074298398,action,INFO,wait  (command 1973),E45,HPC
1075629790,action,INFO,wait  (command 2057),E45,HPC
1076538873,action,INFO,boot  (command 2152),E4,HPC
1076538533,action,INFO,wait  (command 2154),E45,HPC
1076537141,action,INFO,boot  (command 2141),E4,HPC
1076435713,action,INFO,boot  (command 2110),E4,HPC
1076546290,action,INFO,boot  (command 2160),E4,HPC
1077204892,action,INFO,halt  (command 2221),E19,HPC
1077172847,action,INFO,wait  (command 2217),E45,HPC
1077172842,action,INFO,wait  (command 2217),E45,HPC
